bet_id,customer_id,sport,event_name,market,selection,stake_gbp,status,incident_tag,price_delay_ms
B0001,C029,football,PSG vs Marsielle,BTTS,Yes,10,SETTLED,NONE,214
B0002,C140,tennis,Rybakina vs Sabalnka,Set 1 Winner,Sabalnka,5,SETTLED,MANUAL_REVIEW,578
B0003,C068,football,PSG vs Marsielle,Asian Handicap,Home -0.5,40,SETTLED,NONE,290
B0004,C060,football,West Ham vs Fullham,BTTS,No,30,REJECTED,MARKET_SUSPENDED,635
B0005,C098,tennis,Rybakina vs Sabalnka,Total Games O/U 21.5,Under 21.5,5,SETTLED,NONE,46
B0006,C128,tennis,Murray vs Hurkacz,Match Winner,Hurkacz,50,SETTLED,MANUAL_REVIEW,198
B0007,C040,basketball,Warriros vs Suns,Total Points O/U 215.5,Under 215.5,40,REJECTED,MARKET_SUSPENDED,146
B0008,C069,basketball,Bucks vs 76ers,Moneyline,76ers,50,SETTLED,NONE,80
B0009,C051,football,Brighton vs Wolvees,Over/Under 2.5,Over 2.5,50,SETTLED,NONE,99
B0010,C018,basketball,Clippers vs Thunderr,Moneyline,Clippers,15,SETTLED,NONE,159
B0011,C096,tennis,Murray vs Hurkacz,Match Winner,Murray,30,SETTLED,NONE,179
B0012,C019,basketball,Warriros vs Suns,Spread,Away +3.5,30,SETTLED,NONE,94
B0013,C014,basketball,Bulls vs Rapters,Total Points O/U 215.5,Over 215.5,30,SETTLED,NONE,87
B0014,C026,football,Atletico Madird vs Valenica,Match Winner,Atletico Madird,20,SETTLED,NONE,191
B0015,C117,tennis,Raducanu vs Pegulla,Total Games O/U 21.5,Under 21.5,25,SETTLED,NONE,76
B0016,C015,basketball,Lakkers vs Celtcs,Moneyline,Lakkers,20,SETTLED,NONE,253
B0017,C067,football,Atletico Madird vs Valenica,BTTS,Yes,15,PENDING,NONE,202
B0018,C068,football,Brighton vs Wolvees,Match Winner,Brighton,15,SETTLED,NONE,222
B0019,C068,football,Man Citeh vs Brantford,Over/Under 2.5,Under 2.5,20,SETTLED,NONE,121
B0020,C071,football,Chealsea vs Arsenel,BTTS,Yes,25,SETTLED,NONE,248
B0021,C095,basketball,Heat vs Knickss,Moneyline,Knickss,25,SETTLED,NONE,102
B0022,C105,basketball,Bulls vs Rapters,Moneyline,Bulls,15,REJECTED,MARKET_SUSPENDED,839
B0023,C069,football,Bayern Munchen vs Dortmundd,Match Winner,Draw,50,PENDING,LATENCY_SPIKE,1619
B0024,C103,tennis,Medvedev vs Runee,Match Winner,Runee,40,PENDING,NONE,177
B0025,C081,tennis,Swiatekk vs Gauf,Set 1 Winner,Swiatekk,40,VOID,NONE,237
B0026,C032,basketball,Bucks vs 76ers,Total Points O/U 215.5,Under 215.5,30,SETTLED,NONE,186
B0027,C104,basketball,Clippers vs Thunderr,Moneyline,Thunderr,80,SETTLED,NONE,204
B0028,C022,tennis,Zverev vs Tsitsipas,Match Winner,Zverev,20,VOID,FEED_OUTAGE,495
B0029,C127,tennis,Rybakina vs Sabalnka,Match Winner,Rybakina,10,SETTLED,NONE,203
B0030,C136,basketball,Heat vs Knickss,Spread,Away +3.5,40,SETTLED,NONE,186
B0031,C062,tennis,Murray vs Hurkacz,Match Winner,Hurkacz,30,SETTLED,NONE,157
